quarterly,Observations,(sum) rej_count,(sum) appl_count,Applied_Accepted,Applied_Rejected,Discouraged,Appliedforoneormoretypesofcredit,Rejectedfromoneormoresourcesofcredit_givenapplied,Likelyapplytooneormoresourcesofcredit_Cat_Contin,AppliedforCreditCard,AppliedforMortage_Home-BasedLoan,AppliedforAutoLoan,RequestedIncreaseinCreditCardLimit,RequestedMortgageRefi,LikelyApplyforCreditCard_Categ_Contin,LikelyApplyforMortage_Home-BasedLoan_Categ_Contin,LikelyApplyforAutoLoan_Categ_Contin,LikelyRequestIncreaseinCreditCardLimit_Categ_Contin,LikelyRequestMortgageRefi_Categ_Contin,Closedatleastoneacctvoluntarily,Lenderclosedatleastoneacct,ChanceNeed,ChanceComeUp
2013Q4,459.6666666666667,67.33333333333333,343.3333333333333,39.333333333333336,11.666666666666666,7.666666666666667,51.0,21.333333333333332,30.333333333333332,25.333333333333332,8.0,17.0,11.0,23.333333333333332,,,,,,17.666666666666668,4.666666666666667,,
2014Q1,335.8333333333333,43.166666666666664,260.8333333333333,41.333333333333336,11.833333333333334,9.0,53.0,20.833333333333332,29.5,32.333333333333336,6.666666666666667,18.166666666666668,11.166666666666666,14.833333333333334,11.666666666666666,6.5,8.333333333333334,6.5,5.666666666666667,17.666666666666668,3.3333333333333335,,
2014Q2,350.1666666666667,45.166666666666664,253.83333333333334,41.333333333333336,10.5,7.333333333333333,52.0,19.666666666666668,29.0,30.666666666666668,8.166666666666666,15.166666666666666,12.666666666666666,12.333333333333334,7.666666666666667,7.833333333333333,10.666666666666666,4.666666666666667,9.666666666666666,18.0,5.0,,
2014Q4,361.6666666666667,46.666666666666664,239.33333333333334,36.0,11.333333333333334,6.833333333333333,47.166666666666664,23.333333333333332,33.833333333333336,28.833333333333332,5.666666666666667,15.333333333333334,10.833333333333334,8.5,8.0,5.166666666666667,9.0,4.0,7.0,17.0,5.333333333333333,,
2015Q1,353.3333333333333,44.0,253.83333333333334,37.5,10.666666666666666,7.333333333333333,48.333333333333336,20.666666666666668,30.0,29.166666666666668,7.333333333333333,17.333333333333332,13.5,7.0,12.333333333333334,8.5,12.0,6.333333333333333,13.0,17.166666666666668,3.6666666666666665,,
2015Q2,345.6666666666667,29.333333333333332,248.16666666666666,42.333333333333336,7.5,6.666666666666667,49.833333333333336,14.333333333333334,30.833333333333332,30.5,7.833333333333333,16.0,14.0,8.833333333333334,11.833333333333334,9.333333333333334,13.666666666666666,9.0,11.833333333333334,14.333333333333334,4.666666666666667,,
2015Q4,332.8333333333333,34.333333333333336,240.5,42.0,9.5,8.0,51.333333333333336,17.333333333333332,30.666666666666668,29.333333333333332,8.166666666666666,15.833333333333334,16.0,12.0,10.166666666666666,8.666666666666666,11.0,8.333333333333334,9.5,14.833333333333334,3.0,30.833333333333332,67.16666666666667
2016Q1,327.0,30.666666666666668,243.33333333333334,41.333333333333336,9.0,6.5,50.666666666666664,16.833333333333332,31.333333333333332,29.833333333333332,6.833333333333333,17.0,15.166666666666666,12.166666666666666,12.166666666666666,7.666666666666667,12.166666666666666,7.333333333333333,9.333333333333334,15.333333333333334,4.5,32.5,67.33333333333333
2016Q2,342.8333333333333,29.5,255.16666666666666,43.0,8.333333333333334,7.0,51.0,15.5,29.5,32.166666666666664,7.166666666666667,16.166666666666668,13.166666666666666,10.5,11.5,8.166666666666666,12.666666666666666,6.166666666666667,12.833333333333334,16.5,5.166666666666667,34.0,64.16666666666667
2016Q4,355.0,41.666666666666664,265.5,40.833333333333336,9.666666666666666,6.666666666666667,50.333333333333336,18.0,29.833333333333332,30.166666666666668,7.833333333333333,15.666666666666666,14.333333333333334,13.333333333333334,12.166666666666666,7.833333333333333,12.833333333333334,6.833333333333333,12.166666666666666,15.166666666666666,4.5,34.166666666666664,65.16666666666667
2017Q1,369.8333333333333,35.166666666666664,240.5,38.666666666666664,9.5,8.833333333333334,48.166666666666664,18.666666666666668,27.666666666666668,26.5,7.333333333333333,15.666666666666666,9.0,12.333333333333334,11.333333333333334,9.333333333333334,12.666666666666666,6.833333333333333,8.5,14.666666666666666,6.5,31.833333333333332,66.83333333333333
2017Q2,372.5,41.0,280.0,41.166666666666664,12.333333333333334,5.833333333333333,53.5,21.666666666666668,26.666666666666668,31.5,8.5,17.833333333333332,13.5,11.5,10.833333333333334,7.5,11.5,7.333333333333333,7.833333333333333,17.333333333333332,7.333333333333333,32.333333333333336,66.5
2017Q4,376.8333333333333,33.333333333333336,266.8333333333333,41.666666666666664,8.666666666666666,6.666666666666667,50.833333333333336,16.833333333333332,26.833333333333332,29.0,10.0,16.166666666666668,12.666666666666666,7.666666666666667,10.5,6.5,11.833333333333334,6.666666666666667,9.166666666666666,15.333333333333334,6.5,33.166666666666664,67.5
2018Q1,363.0,36.5,240.0,38.333333333333336,8.833333333333334,8.5,47.166666666666664,18.666666666666668,23.833333333333332,27.0,8.0,17.333333333333332,10.666666666666666,8.333333333333334,9.5,7.0,10.166666666666666,7.166666666666667,7.333333333333333,14.666666666666666,7.0,33.333333333333336,69.0
2018Q2,359.3333333333333,45.5,235.16666666666666,34.333333333333336,10.833333333333334,6.166666666666667,45.166666666666664,22.833333333333332,27.333333333333332,27.666666666666668,7.333333333333333,14.5,14.666666666666666,8.0,11.166666666666666,8.0,11.833333333333334,6.5,7.5,15.666666666666666,7.5,33.5,64.66666666666667
2018Q4,375.6666666666667,48.666666666666664,277.8333333333333,38.333333333333336,11.666666666666666,6.0,49.833333333333336,21.5,28.666666666666668,32.666666666666664,7.0,16.166666666666668,15.166666666666666,9.833333333333334,11.666666666666666,8.166666666666666,10.333333333333334,6.333333333333333,6.666666666666667,15.666666666666666,7.833333333333333,32.5,66.5
2019Q1,375.0,37.166666666666664,246.16666666666666,39.833333333333336,8.166666666666666,7.5,48.166666666666664,16.833333333333332,29.333333333333332,28.0,7.5,13.333333333333334,16.0,8.166666666666666,11.333333333333334,7.333333333333333,11.666666666666666,8.333333333333334,6.666666666666667,15.5,7.166666666666667,33.0,68.5
2019Q2,371.5,36.0,244.16666666666666,37.5,10.0,7.166666666666667,47.666666666666664,20.166666666666668,29.166666666666668,30.0,8.166666666666666,12.666666666666666,14.666666666666666,6.5,12.0,8.5,12.5,6.5,8.333333333333334,16.5,7.5,33.5,67.16666666666667
2019Q4,364.6666666666667,38.166666666666664,248.83333333333334,38.0,9.666666666666666,6.5,47.5,19.5,25.833333333333332,28.5,9.166666666666666,14.5,13.833333333333334,10.666666666666666,12.333333333333334,8.5,11.333333333333334,8.0,11.666666666666666,15.0,6.5,34.333333333333336,67.33333333333333
2020Q1,372.3333333333333,28.0,255.33333333333334,39.666666666666664,8.0,7.666666666666667,47.5,15.833333333333334,30.5,27.833333333333332,6.666666666666667,15.0,15.5,11.333333333333334,13.166666666666666,9.0,11.166666666666666,9.666666666666666,11.166666666666666,17.333333333333332,7.5,32.833333333333336,68.66666666666667
2020Q2,335.1666666666667,27.333333333333332,194.16666666666666,33.833333333333336,7.0,8.166666666666666,40.666666666666664,16.333333333333332,24.5,20.5,5.333333333333333,14.166666666666666,11.5,15.0,9.0,6.833333333333333,9.666666666666666,7.5,12.0,17.166666666666668,5.5,33.333333333333336,68.33333333333333
2020Q4,331.6666666666667,26.0,170.33333333333334,28.333333333333332,7.333333333333333,9.166666666666666,36.0,20.666666666666668,27.5,16.833333333333332,5.5,12.333333333333334,8.5,15.0,9.166666666666666,5.0,10.333333333333334,7.166666666666667,11.166666666666666,17.166666666666668,6.666666666666667,30.666666666666668,63.0
2021Q1,344.1666666666667,38.333333333333336,231.33333333333334,36.166666666666664,10.166666666666666,7.833333333333333,46.166666666666664,21.666666666666668,32.5,20.5,8.666666666666666,15.333333333333334,12.0,24.333333333333332,11.166666666666666,9.0,11.833333333333334,9.0,15.0,14.5,6.666666666666667,36.0,65.83333333333333
2021Q2,361.3333333333333,31.5,264.8333333333333,39.0,8.666666666666666,9.166666666666666,47.5,17.666666666666668,30.5,25.333333333333332,7.5,16.333333333333332,12.833333333333334,26.333333333333332,10.833333333333334,8.666666666666666,12.0,8.0,10.166666666666666,14.166666666666666,7.0,31.0,64.66666666666667
2021Q4,356.1666666666667,42.166666666666664,261.5,38.333333333333336,10.666666666666666,6.666666666666667,49.0,20.0,31.5,29.166666666666668,8.833333333333334,13.333333333333334,13.5,20.0,13.333333333333334,9.166666666666666,12.333333333333334,7.833333333333333,8.833333333333334,14.833333333333334,7.666666666666667,32.666666666666664,63.666666666666664
