Quarterly,Level of activity,Momentum
1992Q1,-0.7248538353333333,-0.8817195516666666
1992Q2,-0.6518102023333334,-0.2809226706666667
1992Q3,-0.730723647,-0.4336541463333334
1992Q4,-0.678488691,-0.176051569
1993Q1,-0.547179906,-0.007653661666666663
1993Q2,-0.5432941960000001,0.02743029866666667
1993Q3,-0.5385389683333334,-0.22821123266666668
1993Q4,-0.30198719333333335,-0.06325875066666665
1994Q1,-0.05795909333333333,0.08759825266666667
1994Q2,0.06487709666666668,0.392453617
1994Q3,0.18925618266666666,0.25689565166666667
1994Q4,0.333343127,0.14420091599999998
1995Q1,0.47359221500000004,0.09211295633333333
1995Q2,0.43279338866666667,-0.26962342666666667
1995Q3,0.46756303066666666,-0.20826526633333334
1995Q4,0.40475680566666666,-0.20837747933333337
1996Q1,0.40067056900000003,-0.4243961006666667
1996Q2,0.4419241843333333,-0.012179593333333334
1996Q3,0.591825777,0.022016815666666665
1996Q4,0.642271345,-0.070895364
1997Q1,0.7556393906666666,-0.01444004666666667
1997Q2,0.8237889813333333,0.24598629566666666
1997Q3,0.9626048066666666,0.09114869333333332
1997Q4,1.0089748266666667,0.033694538333333336
1998Q1,1.0367123406666667,0.03344396633333333
1998Q2,1.1398964863333334,-0.08949145233333333
1998Q3,1.1189210840000001,-0.19860636
1998Q4,1.1360113576666668,-0.3218317016666667
1999Q1,1.2650390763333332,-0.24913875866666668
1999Q2,1.2684325896666666,-0.04046993566666667
1999Q3,1.3348758636666667,-0.07996960400000001
1999Q4,1.500455418666667,0.19798436833333333
2000Q1,1.5135912203333335,-0.019391728999999996
2000Q2,1.4970376356666666,-0.033924726
2000Q3,1.4922165516666668,-0.22738593599999998
2000Q4,1.3727214853333332,-0.582381197
2001Q1,1.2304858979999997,-1.1928532943333332
2001Q2,1.014589373,-1.4728435549999999
2001Q3,0.8000730306666667,-1.4014544463333334
2001Q4,0.23757925166666669,-1.6776511263333334
2002Q1,0.21490274333333334,-0.7593707080000001
2002Q2,0.19331615000000002,-0.25489910833333335
2002Q3,0.09888219866666666,-0.6170729696666667
2002Q4,-0.03465935666666667,-0.7312301003333334
2003Q1,-0.221614618,-0.7090787946666667
2003Q2,-0.2643102743333334,-0.3817154516666667
2003Q3,-0.2882801933333333,-0.09901145299999999
2003Q4,-0.09552216433333333,0.05734581766666667
2004Q1,-0.020032863,0.2563418903333334
2004Q2,0.12280530433333332,0.43749326433333335
2004Q3,0.22115080499999998,0.2550260876666667
2004Q4,0.292449832,0.19766235033333335
2005Q1,0.33689396433333335,0.11403848100000001
2005Q2,0.43228697099999996,0.04413827433333334
2005Q3,0.4986911393333333,-0.02059190433333333
2005Q4,0.5029067723333333,-0.023083332333333335
2006Q1,0.666905991,-0.10785677466666665
2006Q2,0.7200900803333333,-0.15224506499999998
2006Q3,0.7142849246666666,-0.2066607696666667
2006Q4,0.7272948913333334,-0.24823289699999998
2007Q1,0.7198904913333334,-0.11185611899999999
2007Q2,0.6252072646666665,-0.21608983333333331
2007Q3,0.5492581366666667,-0.2867522086666667
2007Q4,0.3438447723333333,-0.21161973933333333
2008Q1,0.184188663,-0.5654140803333334
2008Q2,-0.08176906866666667,-0.9949037893333333
2008Q3,-0.3575338723333334,-0.9021030476666666
2008Q4,-1.065678092,-1.9234651536666665
2009Q1,-1.7391000526666665,-2.3576662456666666
2009Q2,-2.0435435513333333,-1.3444537720000003
2009Q3,-2.2109166386666668,-0.354402209
2009Q4,-2.2758323316666664,0.203653946
2010Q1,-2.22039455,0.4903872516666666
2010Q2,-2.1012544280000003,0.7534986016666667
2010Q3,-2.155143058,0.68620727
2010Q4,-2.0624747353333333,0.7313317386666668
2011Q1,-1.8975564219999999,0.8349793536666666
2011Q2,-1.8921545976666667,0.8777804676666667
2011Q3,-1.9134049336666665,0.40806818666666667
2011Q4,-1.7317040746666665,0.656927822
2012Q1,-1.548773225,0.929451067
2012Q2,-1.5125205063333331,0.713401547
2012Q3,-1.5485058760000001,0.6752679633333333
2012Q4,-1.416506057,0.6153166073333333
2013Q1,-1.3521868456666668,0.5742686823333334
2013Q2,-1.2254095266666667,0.6314624226666666
2013Q3,-1.0849035703333334,0.6149982846666667
2013Q4,-1.091341035,0.652290345
2014Q1,-0.8703858609999999,0.4985703066666667
2014Q2,-0.7270660223333333,0.8722585686666667
2014Q3,-0.556731501,0.7490528973333334
2014Q4,-0.4153743973333333,0.8547422086666666
2015Q1,-0.24146625366666666,0.6961167563333333
2015Q2,-0.208671367,0.5463075883333334
2015Q3,-0.10421936433333334,0.46147465066666665
2015Q4,0.02613852533333333,0.443690129
2016Q1,0.013927129333333335,0.21602300433333332
2016Q2,0.041259628,0.33227169
2016Q3,0.09418547633333334,0.4075533656666666
2016Q4,0.2634023113333333,0.5701130443333334
2017Q1,0.3699010356666666,0.7010394526666667
2017Q2,0.4340117016666667,0.735754574
2017Q3,0.5282485726666667,0.66734152
2017Q4,0.602004647,0.8413911116666667
2018Q1,0.728152408,0.629562348
2018Q2,0.8292700326666665,0.6206409573333334
2018Q3,1.0274093516666667,0.656646986
2018Q4,1.0035316300000001,0.4704592859999999
2019Q1,0.9434674156666668,0.34336245933333337
2019Q2,1.0149912786666668,0.412998283
2019Q3,1.130951831,0.210886875
2019Q4,1.0329776663333334,0.23425127033333334
2020Q1,0.805321019,-0.4460816186666667
2020Q2,-1.3322113536666667,-7.792441816999999
2020Q3,-0.7936973410000001,1.9239804946666663
2020Q4,-0.4282248016666667,0.8166211303333334
2021Q1,-0.25151218066666664,0.7802040293333334
2021Q2,0.44748124800000005,0.632475243
2021Q3,0.9365167463333334,0.8304768246666666
2021Q4,1.149752334,0.7391557465
